작업,담당자,상위 작업,선행 작업,일정,진행 상태,프로젝트,하위 작업,회의록,후속 작업
전문가 간담회 (6월 밋앤핵),,,,"May 1, 2025 → June 30, 2025",완료,2025 풀씨 (%ED%94%84%EB%A1%9C%EC%A0%9D%ED%8A%B8%20%EA%B4%80%EB%A6%AC/%EC%9D%BC%EA%B0%90%EB%93%A4/%ED%94%84%EB%A1%9C%EC%A0%9D%ED%8A%B8/2025%20%ED%92%80%EC%94%A8%201c538e82116680739a9dcad46a94ebaa.md),"전문가 간담회 질문 작성 (%ED%94%84%EB%A1%9C%EC%A0%9D%ED%8A%B8%20%EA%B4%80%EB%A6%AC/%EC%9D%BC%EA%B0%90%EB%93%A4/%EC%9E%91%EC%97%85/%EC%A0%84%EB%AC%B8%EA%B0%80%20%EA%B0%84%EB%8B%B4%ED%9A%8C%20%EC%A7%88%EB%AC%B8%20%EC%9E%91%EC%84%B1%2021538e821166804bb0f2cfc187561350.md), 6월 행사 홍보 (%ED%94%84%EB%A1%9C%EC%A0%9D%ED%8A%B8%20%EA%B4%80%EB%A6%AC/%EC%9D%BC%EA%B0%90%EB%93%A4/%EC%9E%91%EC%97%85/6%EC%9B%94%20%ED%96%89%EC%82%AC%20%ED%99%8D%EB%B3%B4%2021538e82116680519406e3f272fc57c9.md), 전문가 섭외 (%ED%94%84%EB%A1%9C%EC%A0%9D%ED%8A%B8%20%EA%B4%80%EB%A6%AC/%EC%9D%BC%EA%B0%90%EB%93%A4/%EC%9E%91%EC%97%85/%EC%A0%84%EB%AC%B8%EA%B0%80%20%EC%84%AD%EC%99%B8%2021738e82116680448fbce46e70a6b06a.md)","주간 회의 250527 (%ED%94%84%EB%A1%9C%EC%A0%9D%ED%8A%B8%20%EA%B4%80%EB%A6%AC/%ED%9A%8C%EC%9D%98%EB%A1%9D/%ED%9A%8C%EC%9D%98%EB%A1%9D/%EC%A3%BC%EA%B0%84%20%ED%9A%8C%EC%9D%98%20250527%2020038e82116680159fe4d929d89f581e.md), 주간 회의 250610 (%ED%94%84%EB%A1%9C%EC%A0%9D%ED%8A%B8%20%EA%B4%80%EB%A6%AC/%ED%9A%8C%EC%9D%98%EB%A1%9D/%ED%9A%8C%EC%9D%98%EB%A1%9D/%EC%A3%BC%EA%B0%84%20%ED%9A%8C%EC%9D%98%20250610%2020e38e82116680dd9d61c2bad17bacb2.md), 주간 회의 250617 (%ED%94%84%EB%A1%9C%EC%A0%9D%ED%8A%B8%20%EA%B4%80%EB%A6%AC/%ED%9A%8C%EC%9D%98%EB%A1%9D/%ED%9A%8C%EC%9D%98%EB%A1%9D/%EC%A3%BC%EA%B0%84%20%ED%9A%8C%EC%9D%98%20250617%2021538e8211668039b798c71202901943.md), 주간 회의 250624 (%ED%94%84%EB%A1%9C%EC%A0%9D%ED%8A%B8%20%EA%B4%80%EB%A6%AC/%ED%9A%8C%EC%9D%98%EB%A1%9D/%ED%9A%8C%EC%9D%98%EB%A1%9D/%EC%A3%BC%EA%B0%84%20%ED%9A%8C%EC%9D%98%20250624%2021c38e821166801b8d0adfdd305e6163.md)",
프로젝트 계획 세우기,"클루KLOU, Ohyeon KWEON, Geunhee Lee, rebane, Hanbyul Jo, TAE SOO KIM, Haewon Park, Yrina, doran@parti.coop, Soobin, Eunsoo Lee",,킥오프 (%ED%94%84%EB%A1%9C%EC%A0%9D%ED%8A%B8%20%EA%B4%80%EB%A6%AC/%EC%9D%BC%EA%B0%90%EB%93%A4/%EC%9E%91%EC%97%85/%ED%82%A5%EC%98%A4%ED%94%84%201c338e821166801d9a8ada838f21c776.md),"April 14, 2025 → April 29, 2025",진행 중,2025 풀씨 (%ED%94%84%EB%A1%9C%EC%A0%9D%ED%8A%B8%20%EA%B4%80%EB%A6%AC/%EC%9D%BC%EA%B0%90%EB%93%A4/%ED%94%84%EB%A1%9C%EC%A0%9D%ED%8A%B8/2025%20%ED%92%80%EC%94%A8%201c538e82116680739a9dcad46a94ebaa.md),,"주간 회의 250415 (%ED%94%84%EB%A1%9C%EC%A0%9D%ED%8A%B8%20%EA%B4%80%EB%A6%AC/%ED%9A%8C%EC%9D%98%EB%A1%9D/%ED%9A%8C%EC%9D%98%EB%A1%9D/%EC%A3%BC%EA%B0%84%20%ED%9A%8C%EC%9D%98%20250415%201d338e82116680bdbf73f70f22417197.md), 주간 회의 250520 (%ED%94%84%EB%A1%9C%EC%A0%9D%ED%8A%B8%20%EA%B4%80%EB%A6%AC/%ED%9A%8C%EC%9D%98%EB%A1%9D/%ED%9A%8C%EC%9D%98%EB%A1%9D/%EC%A3%BC%EA%B0%84%20%ED%9A%8C%EC%9D%98%20250520%201f938e8211668071b9ddeb33ebde2c05.md)",데이터 수집 및 분석 계획 (%ED%94%84%EB%A1%9C%EC%A0%9D%ED%8A%B8%20%EA%B4%80%EB%A6%AC/%EC%9D%BC%EA%B0%90%EB%93%A4/%EC%9E%91%EC%97%85/%EB%8D%B0%EC%9D%B4%ED%84%B0%20%EC%88%98%EC%A7%91%20%EB%B0%8F%20%EB%B6%84%EC%84%9D%20%EA%B3%84%ED%9A%8D%201c538e821166808785c9dd545f0cfdab.md)
문제 정의 및 개선 방향 도출,,,,"June 2, 2025 → June 30, 2025",시작 전,2025 풀씨 (%ED%94%84%EB%A1%9C%EC%A0%9D%ED%8A%B8%20%EA%B4%80%EB%A6%AC/%EC%9D%BC%EA%B0%90%EB%93%A4/%ED%94%84%EB%A1%9C%EC%A0%9D%ED%8A%B8/2025%20%ED%92%80%EC%94%A8%201c538e82116680739a9dcad46a94ebaa.md),,,
시민 설문 데이터 수집,,,,"July 1, 2025 → August 31, 2025",진행 중,2025 풀씨 (%ED%94%84%EB%A1%9C%EC%A0%9D%ED%8A%B8%20%EA%B4%80%EB%A6%AC/%EC%9D%BC%EA%B0%90%EB%93%A4/%ED%94%84%EB%A1%9C%EC%A0%9D%ED%8A%B8/2025%20%ED%92%80%EC%94%A8%201c538e82116680739a9dcad46a94ebaa.md),,,
정책 개선안 도출 및 데이터 개선 권고안,,,,"August 1, 2025 → September 30, 2025",시작 전,2025 풀씨 (%ED%94%84%EB%A1%9C%EC%A0%9D%ED%8A%B8%20%EA%B4%80%EB%A6%AC/%EC%9D%BC%EA%B0%90%EB%93%A4/%ED%94%84%EB%A1%9C%EC%A0%9D%ED%8A%B8/2025%20%ED%92%80%EC%94%A8%201c538e82116680739a9dcad46a94ebaa.md),,,
인터뷰 질문 작성,"Geunhee Lee, Ohyeon KWEON, Eunsoo Lee",,,"February 17, 2025 → February 19, 2025",완료,,,,
2월 밋앤핵 공지,"Geunhee Lee, Eunsoo Lee, Ohyeon KWEON",,,"February 19, 2025",완료,,,,
풀씨 지원서 작성 및 제출,"Geunhee Lee, Ohyeon KWEON, Eunsoo Lee",,,"February 17, 2025 → February 19, 2025",완료,2025 풀씨 (%ED%94%84%EB%A1%9C%EC%A0%9D%ED%8A%B8%20%EA%B4%80%EB%A6%AC/%EC%9D%BC%EA%B0%90%EB%93%A4/%ED%94%84%EB%A1%9C%EC%A0%9D%ED%8A%B8/2025%20%ED%92%80%EC%94%A8%201c538e82116680739a9dcad46a94ebaa.md),,,
온보딩 데이 프로젝트 소개,Geunhee Lee,,해커톤 Research Questions 회신 (%ED%94%84%EB%A1%9C%EC%A0%9D%ED%8A%B8%20%EA%B4%80%EB%A6%AC/%EC%9D%BC%EA%B0%90%EB%93%A4/%EC%9E%91%EC%97%85/%ED%95%B4%EC%BB%A4%ED%86%A4%20Research%20Questions%20%ED%9A%8C%EC%8B%A0%201c738e821166808eb89dfc0e93c22757.md),"March 31, 2025 → April 4, 2025",완료,Students@AI Seoul 2025 (%ED%94%84%EB%A1%9C%EC%A0%9D%ED%8A%B8%20%EA%B4%80%EB%A6%AC/%EC%9D%BC%EA%B0%90%EB%93%A4/%ED%94%84%EB%A1%9C%EC%A0%9D%ED%8A%B8/Students@AI%20Seoul%202025%201c738e82116680b1917ddee76276a50e.md),,,
협업 제안 회신,"Geunhee Lee, Ohyeon KWEON",,,"February 27, 2025",완료,Students@AI Seoul 2025 (%ED%94%84%EB%A1%9C%EC%A0%9D%ED%8A%B8%20%EA%B4%80%EB%A6%AC/%EC%9D%BC%EA%B0%90%EB%93%A4/%ED%94%84%EB%A1%9C%EC%A0%9D%ED%8A%B8/Students@AI%20Seoul%202025%201c738e82116680b1917ddee76276a50e.md),,,해커톤 Research Questions 회신 (%ED%94%84%EB%A1%9C%EC%A0%9D%ED%8A%B8%20%EA%B4%80%EB%A6%AC/%EC%9D%BC%EA%B0%90%EB%93%A4/%EC%9E%91%EC%97%85/%ED%95%B4%EC%BB%A4%ED%86%A4%20Research%20Questions%20%ED%9A%8C%EC%8B%A0%201c738e821166808eb89dfc0e93c22757.md)
해커톤 Research Questions 회신,"Geunhee Lee, Ohyeon KWEON, Eunsoo Lee",,협업 제안 회신 (%ED%94%84%EB%A1%9C%EC%A0%9D%ED%8A%B8%20%EA%B4%80%EB%A6%AC/%EC%9D%BC%EA%B0%90%EB%93%A4/%EC%9E%91%EC%97%85/%ED%98%91%EC%97%85%20%EC%A0%9C%EC%95%88%20%ED%9A%8C%EC%8B%A0%201c738e82116680dc8747d762270f9917.md),"March 11, 2025 → March 12, 2025",완료,Students@AI Seoul 2025 (%ED%94%84%EB%A1%9C%EC%A0%9D%ED%8A%B8%20%EA%B4%80%EB%A6%AC/%EC%9D%BC%EA%B0%90%EB%93%A4/%ED%94%84%EB%A1%9C%EC%A0%9D%ED%8A%B8/Students@AI%20Seoul%202025%201c738e82116680b1917ddee76276a50e.md),,,온보딩 데이 프로젝트 소개 (%ED%94%84%EB%A1%9C%EC%A0%9D%ED%8A%B8%20%EA%B4%80%EB%A6%AC/%EC%9D%BC%EA%B0%90%EB%93%A4/%EC%9E%91%EC%97%85/%EC%98%A8%EB%B3%B4%EB%94%A9%20%EB%8D%B0%EC%9D%B4%20%ED%94%84%EB%A1%9C%EC%A0%9D%ED%8A%B8%20%EC%86%8C%EA%B0%9C%201c738e82116680709c49e1c7125a6f78.md)
결과보고서 & 활동계획서 작성,Geunhee Lee,,,"April 6, 2025 → April 13, 2025",취소,BI (%ED%94%84%EB%A1%9C%EC%A0%9D%ED%8A%B8%20%EA%B4%80%EB%A6%AC/%EC%9D%BC%EA%B0%90%EB%93%A4/%ED%94%84%EB%A1%9C%EC%A0%9D%ED%8A%B8/BI%201c938e821166802fa024e616d0d4964c.md),,,
서비스 프로토타입 제작,"Geunhee Lee, 클루KLOU, Yuna Shin, rebane, Hanbyul Jo, Yrina, doran@parti.coop",,,"May 27, 2025 → June 29, 2025",진행 중,2025 풀씨 (%ED%94%84%EB%A1%9C%EC%A0%9D%ED%8A%B8%20%EA%B4%80%EB%A6%AC/%EC%9D%BC%EA%B0%90%EB%93%A4/%ED%94%84%EB%A1%9C%EC%A0%9D%ED%8A%B8/2025%20%ED%92%80%EC%94%A8%201c538e82116680739a9dcad46a94ebaa.md),"서비스 기획 (%ED%94%84%EB%A1%9C%EC%A0%9D%ED%8A%B8%20%EA%B4%80%EB%A6%AC/%EC%9D%BC%EA%B0%90%EB%93%A4/%EC%9E%91%EC%97%85/%EC%84%9C%EB%B9%84%EC%8A%A4%20%EA%B8%B0%ED%9A%8D%2020038e82116680a6930ddb959a13ab21.md), 서비스 참고 사례 수집 (%ED%94%84%EB%A1%9C%EC%A0%9D%ED%8A%B8%20%EA%B4%80%EB%A6%AC/%EC%9D%BC%EA%B0%90%EB%93%A4/%EC%9E%91%EC%97%85/%EC%84%9C%EB%B9%84%EC%8A%A4%20%EC%B0%B8%EA%B3%A0%20%EC%82%AC%EB%A1%80%20%EC%88%98%EC%A7%91%2020038e82116680779475d9d0fb7c6ea8.md), 수요자 특성 구체화 (%ED%94%84%EB%A1%9C%EC%A0%9D%ED%8A%B8%20%EA%B4%80%EB%A6%AC/%EC%9D%BC%EA%B0%90%EB%93%A4/%EC%9E%91%EC%97%85/%EC%88%98%EC%9A%94%EC%9E%90%20%ED%8A%B9%EC%84%B1%20%EA%B5%AC%EC%B2%B4%ED%99%94%2020038e82116680969460c67db1f377e1.md), 간담회 전문가 피드백 반영 (%ED%94%84%EB%A1%9C%EC%A0%9D%ED%8A%B8%20%EA%B4%80%EB%A6%AC/%EC%9D%BC%EA%B0%90%EB%93%A4/%EC%9E%91%EC%97%85/%EA%B0%84%EB%8B%B4%ED%9A%8C%20%EC%A0%84%EB%AC%B8%EA%B0%80%20%ED%94%BC%EB%93%9C%EB%B0%B1%20%EB%B0%98%EC%98%81%2021538e8211668065b1e9f3940056f6b4.md), 간담회용 자료 정리 (%ED%94%84%EB%A1%9C%EC%A0%9D%ED%8A%B8%20%EA%B4%80%EB%A6%AC/%EC%9D%BC%EA%B0%90%EB%93%A4/%EC%9E%91%EC%97%85/%EA%B0%84%EB%8B%B4%ED%9A%8C%EC%9A%A9%20%EC%9E%90%EB%A3%8C%20%EC%A0%95%EB%A6%AC%2021538e8211668033987cd3363b9bea2f.md), 서비스 청사진 작성 (%ED%94%84%EB%A1%9C%EC%A0%9D%ED%8A%B8%20%EA%B4%80%EB%A6%AC/%EC%9D%BC%EA%B0%90%EB%93%A4/%EC%9E%91%EC%97%85/%EC%84%9C%EB%B9%84%EC%8A%A4%20%EC%B2%AD%EC%82%AC%EC%A7%84%20%EC%9E%91%EC%84%B1%2021538e8211668046b36ad02f7f99f5ee.md), 서비스 사용자 흐름도 작성 (%ED%94%84%EB%A1%9C%EC%A0%9D%ED%8A%B8%20%EA%B4%80%EB%A6%AC/%EC%9D%BC%EA%B0%90%EB%93%A4/%EC%9E%91%EC%97%85/%EC%84%9C%EB%B9%84%EC%8A%A4%20%EC%82%AC%EC%9A%A9%EC%9E%90%20%ED%9D%90%EB%A6%84%EB%8F%84%20%EC%9E%91%EC%84%B1%2021538e82116680ff934bcfb8e35963c3.md), 데이터 작업 - 재난 물품 데이터 정리 (%ED%94%84%EB%A1%9C%EC%A0%9D%ED%8A%B8%20%EA%B4%80%EB%A6%AC/%EC%9D%BC%EA%B0%90%EB%93%A4/%EC%9E%91%EC%97%85/%EB%8D%B0%EC%9D%B4%ED%84%B0%20%EC%9E%91%EC%97%85%20-%20%EC%9E%AC%EB%82%9C%20%EB%AC%BC%ED%92%88%20%EB%8D%B0%EC%9D%B4%ED%84%B0%20%EC%A0%95%EB%A6%AC%2023138e82116680d995bfe4c00f04a1e6.md), 데이터 작업 - 재난 종류 + 물품 데이터 만들기 (%ED%94%84%EB%A1%9C%EC%A0%9D%ED%8A%B8%20%EA%B4%80%EB%A6%AC/%EC%9D%BC%EA%B0%90%EB%93%A4/%EC%9E%91%EC%97%85/%EB%8D%B0%EC%9D%B4%ED%84%B0%20%EC%9E%91%EC%97%85%20-%20%EC%9E%AC%EB%82%9C%20%EC%A2%85%EB%A5%98%20+%20%EB%AC%BC%ED%92%88%20%EB%8D%B0%EC%9D%B4%ED%84%B0%20%EB%A7%8C%EB%93%A4%EA%B8%B0%2023138e8211668084bc7bc4a08ffe084b.md), 와이어프레임 (%ED%94%84%EB%A1%9C%EC%A0%9D%ED%8A%B8%20%EA%B4%80%EB%A6%AC/%EC%9D%BC%EA%B0%90%EB%93%A4/%EC%9E%91%EC%97%85/%EC%99%80%EC%9D%B4%EC%96%B4%ED%94%84%EB%A0%88%EC%9E%84%2023138e82116680e8be5ceb8c1c7b00b5.md)","주간 회의 250527 (%ED%94%84%EB%A1%9C%EC%A0%9D%ED%8A%B8%20%EA%B4%80%EB%A6%AC/%ED%9A%8C%EC%9D%98%EB%A1%9D/%ED%9A%8C%EC%9D%98%EB%A1%9D/%EC%A3%BC%EA%B0%84%20%ED%9A%8C%EC%9D%98%20250527%2020038e82116680159fe4d929d89f581e.md), 주간 회의 250610 (%ED%94%84%EB%A1%9C%EC%A0%9D%ED%8A%B8%20%EA%B4%80%EB%A6%AC/%ED%9A%8C%EC%9D%98%EB%A1%9D/%ED%9A%8C%EC%9D%98%EB%A1%9D/%EC%A3%BC%EA%B0%84%20%ED%9A%8C%EC%9D%98%20250610%2020e38e82116680dd9d61c2bad17bacb2.md), 주간 회의 250617 (%ED%94%84%EB%A1%9C%EC%A0%9D%ED%8A%B8%20%EA%B4%80%EB%A6%AC/%ED%9A%8C%EC%9D%98%EB%A1%9D/%ED%9A%8C%EC%9D%98%EB%A1%9D/%EC%A3%BC%EA%B0%84%20%ED%9A%8C%EC%9D%98%20250617%2021538e8211668039b798c71202901943.md)",
협업 공간 설정,"Geunhee Lee, 클루KLOU",,,"April 10, 2025 → April 11, 2025",완료,2025 풀씨 (%ED%94%84%EB%A1%9C%EC%A0%9D%ED%8A%B8%20%EA%B4%80%EB%A6%AC/%EC%9D%BC%EA%B0%90%EB%93%A4/%ED%94%84%EB%A1%9C%EC%A0%9D%ED%8A%B8/2025%20%ED%92%80%EC%94%A8%201c538e82116680739a9dcad46a94ebaa.md),,노션 설정 회의 250412 (%ED%94%84%EB%A1%9C%EC%A0%9D%ED%8A%B8%20%EA%B4%80%EB%A6%AC/%ED%9A%8C%EC%9D%98%EB%A1%9D/%ED%9A%8C%EC%9D%98%EB%A1%9D/%EB%85%B8%EC%85%98%20%EC%84%A4%EC%A0%95%20%ED%9A%8C%EC%9D%98%20250412%201d338e821166803391b2d1f3a59fff48.md),
